ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'relu'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.07584802309672038,0.01833653450012207,-0.26787496317209175,-0.391585767916416,-6343.483265661515,-6285.38374307772,-4825.27112744705,-4917.681776561981,-0.5478870530366545,-0.6254841105842243,0.3543864868969823,0.3311468485074447,-0.5140650087851577,-0.5149190027385931,0.5403539268066986,0.647679193826855
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.03751246134440104,0.014339208602905273,-0.2170323531356515,-0.17675861765352932,-6290.808924277448,-6259.231501416944,-4735.1865003280545,-4704.84240113219,-0.5974220940240782,-0.5888874651266063,0.2824172795429735,0.2850819721438245,-0.49888489141898873,-0.49577257307409733,0.856205411504145,0.8693150347605799
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.03368767102559408,0.016333659489949543,-0.21685820915139428,-0.17660439757373556,-6290.39111750808,-6258.821618129812,-4735.049512255231,-4704.726488945538,-0.5975357418750279,-0.5890055244650413,0.28226834858176814,0.2849327783954416,-0.4988711364923925,-0.49576034150518716,0.8561994674199646,0.8693088512886279
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.09887345631917317,0.014667352040608725,-0.07055366681582664,-0.06668114627285893,-5951.965780781292,-5959.446058228578,-5169.789871130237,-5142.028786532731,-1.012861685874106,-1.0075715413836062,-0.15926147494785542,-0.15711007324779094,-0.5470039923263071,-0.5420687790039432,0.09518185200283331,0.08323765902386325
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.09185004234313965,0.013855457305908203,-0.07054969413361294,-0.06667701181460865,-5951.954623640912,-5959.43450944602,-5169.775770971373,-5142.014413775579,-1.0128561740005162,-1.0075659688299037,-0.1592565964910396,-0.1571051910057666,-0.5470024812337093,-0.5420672570621536,0.09517999264509906,0.08323562166316521
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.10853997866312663,0.016014814376831055,-0.032359050143941616,-0.026130905538425047,-5842.909258279702,-5845.073388619919,-5004.123732183012,-4977.598005937398,-0.9468749756522824,-0.941270897274802,-0.10055084870381799,-0.09834289891458019,-0.5292562722535387,-0.5246697530090741,0.158030618171442,0.18515706181183164
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.1038660208384196,0.012006123860677084,-0.03235572186364122,-0.026127290171876982,-5842.899547832724,-5845.063094410446,-5004.106111451895,-4977.580228631238,-0.9468676355712411,-0.9412634884300788,-0.10054429576506607,-0.0983363413291684,-0.5292543855982362,-0.5246678715699823,0.04858492286604137,0.051872386981033726
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.12686745325724283,0.019506454467773438,-0.023835339746835976,-0.008060714312813966,-5806.989455280323,-5793.378848874858,-4725.515928866644,-4691.208088269705,-0.7902475681040514,-0.7828769148238379,0.05226496588863044,0.05462023033528345,-0.4990008290078962,-0.49434701739294,0.21367541601107665,0.21560295050304565
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.10553582509358723,0.014001051584879557,-0.023835323363043354,-0.008060748282965028,-5806.989416368665,-5793.37894434324,-4725.5156314364185,-4691.208047817683,-0.7902474483758293,-0.7828768223031163,0.052265077206857524,0.0546203333913233,-0.49900079669363934,-0.49434701337309667,0.49323420746751,0.10046953833355489
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.07484078407287598,0.01618790626525879,-0.01817703373446089,-0.004936500403114478,-5794.593882143082,-5784.3461071681095,-4788.178638774756,-4750.325116527588,-0.8291850718717049,-0.8216324807728078,0.014576624034901517,0.016901076951590373,-0.5057983439579139,-0.500599203607435,0.06448585014472302,0.05495192255492328
