GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",0.16036407152811685,0.01166693369547526,0.8309646182468079,-2341.9718474531974,-1788.244646955919,-0.2544506504499297,-0.005175240292343547,-0.1883437282151985,0.8450437313604868
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",0.14185873667399088,0.01183629035949707,0.8309830168665518,-2341.839242791391,-1788.1182148037344,-0.2544376565867505,-0.005146640445502333,-0.18833024035726362,0.845065329673035
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",0.14835453033447266,0.010666608810424805,0.8309843086272526,-2341.8294643188988,-1788.1108268194978,-0.2544378814037372,-0.005146718830487875,-0.18832944279029987,0.845065568261049
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",0.1433568000793457,0.01100015640258789,0.830985600460405,-2341.819685368186,-1788.1034383225244,-0.2544381061726187,-0.005146797249669553,-0.18832864517001147,0.8450658071344517
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",0.12902609507242838,0.01350092887878418,0.830986892229053,-2341.8099068817314,-1788.0960487089494,-0.25443833087352474,-0.005146875457034781,-0.18832784744058761,0.8450660459838696
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 10))",0.1358506679534912,0.010001182556152344,0.8309881836107348,-2341.8001306958354,-1788.0886610779846,-0.2544385557258717,-0.005146953773609582,-0.18832704990514162,0.8450662845294853
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 10))",0.15835420290629068,0.012170632680257162,0.8309888292726301,-2341.7952431639274,-1788.0849673290322,-0.25443866804198434,-0.005146993002849379,-0.18832665115529493,0.8450664037949464
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 10))",0.139190673828125,0.016333977381388348,0.8309893459538967,-2341.7913318967426,-1788.0820118669644,-0.25443875807130056,-0.005147024387153673,-0.18832633210062802,0.8450664994264739
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 10))",0.13818844159444174,0.010333538055419922,0.8309894749558108,-2341.790355035932,-1788.0812732282366,-0.2544387805382968,-0.005147032013177622,-0.1883262523559517,0.8450665231412374
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 4))",0.15152565638224283,0.012333949406941732,0.8329407324496519,-2324.008134700052,-1764.1267543113324,-0.25427001158446466,-0.0038596934722374874,-0.18584318078025788,0.8438700871464208
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 4))",0.139192263285319,0.012334585189819336,0.8329417277013431,-2324.0003864205755,-1764.1220610903986,-0.2542705975795021,-0.003859816637457628,-0.18584267119537615,0.8438703310004535
