ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.18513178825378418,0.06339732805887859,-0.19063830108096944,-0.1782787486097067,-5776.011472381072,-5763.9000250768195,-4420.156643904928,-4407.005769678765,-0.5695376955714885,-0.5666246268404511,0.26401954310778925,0.2670501568325152,-0.4737269215073992,-0.4729386179355099,0.8512389701480148,0.8580047272274172
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.14542746543884277,0.03918751080830892,-0.1904883864882303,-0.17812769337640896,-5775.649187234475,-5763.530499648715,-4420.058525199637,-4406.93990471491,-0.5696382585943714,-0.566729779106721,0.2638841736129521,0.2669152417692012,-0.4737165617728234,-0.4729315039729465,0.851238701898554,0.8580046185709129
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.30407897631327313,0.05187551180521647,-0.08962457863390168,-0.06668077595709516,-5514.568677181141,-5484.120638960748,-4765.603529890395,-4716.269652580068,-0.9333568281036838,-0.925685679816309,-0.15147337557836146,-0.147209749307795,-0.5132669211682945,-0.5062827550869219,0.08640050200365468,0.08661347856565958
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.3236326376597087,0.04356575012207031,-0.08962040628716246,-0.06667678543319111,-5514.558469233593,-5484.110380681882,-4765.592064272176,-4716.257974809741,-0.9333521816208123,-0.9256810236977007,-0.15146894680485135,-0.1472053330712033,-0.51326565134322,-0.5062814972687052,0.08639887420539026,0.08661189217103109
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.36380569140116376,0.040861050287882485,-0.04691986169688889,-0.026130926571015085,-5409.465386961013,-5378.87126929352,-4627.820050106989,-4580.50878055492,-0.875886168834647,-0.8685325671010301,-0.09625328164676424,-0.09214578164445265,-0.49800152929123614,-0.4916441051796972,0.1626577936986609,0.17918826599368656
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.44878919919331867,0.05053416887919108,-0.046915598995204734,-0.02612694780694798,-5409.454857635338,-5378.8608402225245,-4627.80462375906,-4580.495324513686,-0.8758791509947271,-0.8685257519066694,-0.09624642248183753,-0.09213894147350767,-0.497999811808316,-0.49164265666535895,0.029611174593617017,0.009793171712206637
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.33838359514872235,0.05942694346110026,-0.02431009816401075,-0.008061113530067146,-5357.346703241335,-5331.300877170599,-4401.356607923471,-4372.249923403061,-0.7396092835504233,-0.7344562874268926,0.04747834632446125,0.05117956404369408,-0.472585404112497,-0.46919232702103914,0.17767169010259798,0.1754346906285881
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.39446282386779785,0.05053234100341797,-0.024309759026492166,-0.008060744003502021,-5357.3457892123515,-5331.2999000433065,-4401.357685045253,-4372.250843931942,-0.7396103201710399,-0.7344573051449647,0.04747716407624689,0.05117838501319668,-0.47258552775305224,-0.4691924265212238,0.26052214555759695,0.31078174749514814
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.23633853594462076,0.040546814600626625,-0.022066015178855498,-0.004762252570020016,-5350.55080555602,-5322.601901122765,-4450.584150919128,-4412.132908133984,-0.7730804269620747,-0.7667776442313071,0.0120000451141302,0.015829137722697593,-0.4781280520830067,-0.47348451778437656,0.05210524080486273,0.05055846708107219
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (20, 20)), ('regressor learning_rate_init', 0.001), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.28572646776835126,0.06193216641743978,-0.02206546313972731,-0.004761695787264412,-5350.549331871464,-5322.6004225561555,-4450.58366195046,-4412.132507475729,-0.7730807085559093,-0.7667779404714357,0.011999534358250186,0.015828625085837905,-0.478128003516634,-0.4734844753923242,0.05210437722391528,0.050557605669917925
