GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",0.7988471190134684,0.07458003362019856,0.83752609697873,-2129.5210520106293,-1581.957280016317,-0.20808000256739467,-0.0043128323119804015,-0.17014430392602461,0.8583387376033436
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",0.659903367360433,0.04538265864054362,0.8375353561120539,-2129.461232805945,-1581.9276896762503,-0.2080792813212453,-0.004312714126688211,-0.1701411260467213,0.8583410698498911
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",0.6625332832336426,0.04253538449605306,0.8375372077825262,-2129.449269821327,-1581.9217711942354,-0.2080791370595336,-0.004312690549167261,-0.17014049042165733,0.8583415363606101
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",0.6493518352508545,0.042850494384765625,0.837539059165997,-2129.4373085954708,-1581.915852924292,-0.2080789928914026,-0.004312667027662323,-0.17013985482304525,0.858342002810998
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",0.6056845188140869,0.05065258344014486,0.8375409105043672,-2129.425347638574,-1581.9099346392602,-0.20807884854315098,-0.004312643417061573,-0.17013921921919606,0.8583424692215506
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 10))",0.854201873143514,0.04599952697753906,0.8375427615662882,-2129.4133883565687,-1581.9040165680608,-0.20807870424672462,-0.004312619711270106,-0.1701385836476699,0.8583429354331592
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 10))",0.5588876406351725,0.04730145136515299,0.8375436870939272,-2129.4074088281814,-1581.9010581050115,-0.20807863228082468,-0.004312608014968844,-0.17013826591585324,0.8583431685739268
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 10))",0.6168100039164225,0.04872488975524902,0.8375444275178562,-2129.4026250282136,-1581.8986902397721,-0.20807857448331749,-0.004312598381469361,-0.1701380116166804,0.8583433551271789
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 10))",0.8442180156707764,0.0455323060353597,0.837544612660853,-2129.401428859436,-1581.8980990813907,-0.20807856017226967,-0.004312596191695234,-0.17013794813175562,0.8583434017779416
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 5))",0.7265352408091227,0.06673844655354817,0.8456850968563097,-2075.067469036358,-1549.8884486195886,-0.20642877060613615,-0.004131368845570623,-0.16668676864025792,0.8637058562245432
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 5))",0.608910322189331,0.04767290751139323,0.8456941820191677,-2075.00721630139,-1549.858256512521,-0.20643333515510717,-0.004131289166373897,-0.16668358101655475,0.863708412202369
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 5))",0.804754892985026,0.05643415451049805,0.8456959986147697,-2074.995168371572,-1549.8522181475357,-0.206434248042453,-0.004131273046207553,-0.1666829435018594,0.8637089232614555
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 5))",0.6500418980916342,0.04738187789916992,0.845697815256753,-2074.9831201982656,-1549.8461797537466,-0.2064351609932228,-0.004131257218485863,-0.1666823059743945,0.8637094344668826
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 5))",0.6395049095153809,0.040862480799357094,0.845699631431536,-2074.971075005447,-1549.8401418315052,-0.20643607387432375,-0.0041312411429183125,-0.1666816685094575,0.8637099453645901
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 5))",0.63300093015035,0.055913845698038735,0.8457014478398386,-2074.959028192436,-1549.834102652416,-0.20643698675068264,-0.00413122526057538,-0.16668103090275024,0.8637104564731186
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 5))",0.6572299798329672,0.046378771464029946,0.8457023559368696,-2074.9530055206947,-1549.831083003527,-0.20643744309617384,-0.004131217189543473,-0.1666807120900676,0.8637107120155353
