ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.03860311508178711,0.013707447052001952,-0.24573527912296284,-0.18499796585376904,-1320.2851665533567,-1333.3188660021503,-1013.3982994009614,-1007.2881547183463,-0.18706355650621284,-0.18583153366733618,0.11154509052642622,0.11333299851503191,-0.20176157731366734,-0.20132610493619962,0.4851845165591996,0.5277681582104613
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.03531756401062012,0.012704038619995117,-0.24556658437651896,-0.18485715178042422,-1320.2040993226015,-1333.239703109595,-1013.3729682020827,-1007.2566757821814,-0.18706783184649406,-0.18583445379383037,0.11149633768748637,0.1132844062743367,-0.20175664309162125,-0.20131980818629644,0.4851888630258182,0.5277742620213678
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.09013276100158692,0.012708520889282227,-0.15186179028059432,-0.06668164417680114,-1264.230216355704,-1265.0558749228012,-990.8326551434824,-978.0517059074313,-0.21682392288760327,-0.2143489957309331,-0.06546797125274635,-0.06322890014493222,-0.19830602163322625,-0.19550075265165906,0.09671941910642907,0.05979299244026228
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.10284218788146973,0.013505029678344726,-0.15185699842523953,-0.06667819827143759,-1264.228013138461,-1265.0538312256936,-990.8310501826775,-978.0500803599189,-0.21682329176503892,-0.21434835951314107,-0.06546632980141137,-0.0632272625796659,-0.19830568716015182,-0.195500427454497,0.09671556141820924,0.05978890769083389
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.03721299171447754,0.01830463409423828,-0.1099822610747343,-0.05500501901498156,-1250.0345362000066,-1257.9294210524233,-979.2861669165093,-964.5883919197917,-0.18667295858814764,-0.18343403263523947,0.07561792324542302,0.07743520105009252,-0.19508273998120568,-0.19279961716492874,0.19563522872688877,0.19584639397132558
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.035109329223632815,0.014705038070678711,-0.10995797518280155,-0.05504873751574944,-1250.0280716706898,-1257.9548765704963,-979.198693319003,-964.5884749873042,-0.18665698771045322,-0.1834461132261324,0.07560121947338505,0.07739326775093516,-0.19506462269160588,-0.19279953898950963,0.19771922649887838,0.1971844178542536
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.11424031257629394,0.014506864547729491,-0.09405253636966208,-0.026130317422992277,-1237.4883399888436,-1240.7764715520236,-971.9656875409764,-959.2102116246208,-0.2085228892794254,-0.20603912658712287,-0.041760647969558355,-0.039577949246416756,-0.1943313146696344,-0.19173232122637013,0.15184118106805672,0.1313530513830133
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.10893149375915527,0.014504003524780273,-0.09404510697682822,-0.026125371933855047,-1237.4848938474227,-1240.7734795700067,-971.963350101222,-959.207830627953,-0.2085217035277654,-0.20603792962124298,-0.041756919326548264,-0.03957423228402077,-0.1943308148623837,-0.19173184542556362,0.2069498982147592,0.15663503576452503
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.03630518913269043,0.011800527572631836,-0.055521347618396444,0.0003134678001523117,-1219.1491872581892,-1224.6833917046938,-960.4533353123909,-947.732575849814,-0.2025085989529,-0.20001738451514156,-0.02261103890687492,-0.020482672178390882,-0.19186299464582157,-0.18944089368457168,0.10387448732245756,0.08170029354229272
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (10, 10)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.03321080207824707,0.012200450897216797,-0.05551946990236889,0.00031533881418448483,-1219.1481032037575,-1224.6822451798864,-960.4526927833674,-947.7316183681365,-0.2025086323759068,-0.20001735714050417,-0.02261188821483015,-0.020483521846981587,-0.19186287625253656,-0.18944070261936932,0.10387466640640994,0.08170040341180852
