GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 1))",0.15512781143188475,0.011005496978759766,0.5651554203171394,-787.6439444680119,-577.6336074270928,-0.11235237280614989,0.004109702042964261,-0.1151524940043179,0.589959666530852
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 1))",0.15262694358825685,0.010998964309692383,0.5651554827931407,-787.6435275772212,-577.6395148707019,-0.11235326387745286,0.0041015719144753306,-0.11515351934051762,0.5899466664530003
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 1))",0.19443755149841307,0.011801862716674804,0.5651703118516194,-787.6257134317857,-577.6168008515926,-0.1123473017026538,0.004102163274773947,-0.1151489151612893,0.5899522420517441
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 1))",0.14963254928588868,0.012199640274047852,0.565198832167213,-787.5917787615894,-577.6130459786605,-0.1123473290788933,0.00410128218608451,-0.1151481467123013,0.5899860803330059
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 1))",0.13793540000915527,0.012503433227539062,0.5651989989475826,-787.5914874951313,-577.6117258701777,-0.11234690921624216,0.004101369778276811,-0.11514787163550655,0.5899852166313554
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 1))",0.14304065704345703,0.0144012451171875,0.5651990406149554,-787.591414698333,-577.6113958897815,-0.11234680425330543,0.004101391702160047,-0.1151478028737378,0.5899850007756553
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 1))",0.12093234062194824,0.016203594207763673,0.5652153355657248,-787.6073003286754,-577.6290155698736,-0.11235563931911467,0.004107381204216158,-0.11515173430957962,0.5900322055535894
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 1))",0.14793682098388672,0.011503982543945312,0.565215480071938,-787.6035230054355,-577.6243428979603,-0.1123514605476704,0.004110131398526412,-0.11515064855519128,0.5900269334634467
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 1))",0.20344481468200684,0.012701988220214844,0.5652158945188883,-787.6028017274768,-577.6210557611686,-0.11235041366961625,0.004110352781684752,-0.11514996354798199,0.5900247655130467
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0.1))",0.1311324119567871,0.011704778671264649,0.5653606814364266,-787.3564817461063,-577.3547110447704,-0.11226093503737491,0.003755747598802798,-0.11509958422723539,0.5896070095749943
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0.5))",0.18063435554504395,0.020104646682739258,0.5656070516039031,-787.3043002267934,-578.0864326899998,-0.11240316507623274,0.003962745043171831,-0.1152332284212553,0.5904773035591282
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 0.1))",0.12992119789123535,0.01790485382080078,0.5656236473110132,-787.1005199049665,-577.3330746420872,-0.1122574473403205,0.003800136289564065,-0.11509454151299021,0.589827921646438
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 0.1))",0.30556468963623046,0.014400434494018555,0.5656236661757174,-787.1004686484781,-577.3327651724321,-0.11225734797248252,0.003800154437980722,-0.11509447723221737,0.5898276930728799
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 0.1))",0.15183210372924805,0.012402153015136719,0.5656527729516811,-787.0746853873128,-577.3204659705547,-0.11225501211745578,0.0037977558054838904,-0.1150918737654582,0.5898681473902356
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0.1))",0.21017494201660156,0.012000751495361329,0.5656529683667456,-787.0741671115378,-577.3173697539112,-0.112254018169652,0.0037979372417557638,-0.11509123063881796,0.5898658678754677
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0.1))",0.15423941612243652,0.012302732467651368,0.5656530655613873,-787.0739083534111,-577.3158212629703,-0.11225352112926412,0.0037980279484521864,-0.11509090900127508,0.589864728183336
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 0.5))",0.10802702903747559,0.011600589752197266,0.565671402431757,-787.2414415046348,-577.6191796451607,-0.11230246190309714,0.003926667318024876,-0.11514639814973097,0.5905145697676861
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0.5))",0.16043243408203126,0.011503171920776368,0.5656749510002973,-787.2368595347313,-577.6025664050924,-0.11229722833966811,0.0039278269089527435,-0.1151429529928866,0.5905059851725756
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 0.1))",0.14651889801025392,0.01310577392578125,0.5657136826681471,-787.0342557713348,-577.2754278680891,-0.11226166156357456,0.0038040947918887465,-0.1150827780749191,0.5899380420344945
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 3))",0.15662908554077148,0.01360011100769043,0.5657137342966773,-787.4268353437458,-578.5494578353238,-0.11248975434330606,0.004178609785230816,-0.11534425106766914,0.5911020820892927
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 0.1))",0.14563331604003907,0.01250314712524414,0.5657138850361275,-787.0337315247323,-577.2719114961404,-0.11226057802250163,0.003804268781907867,-0.11508204965093354,0.5899357642805494
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 0.1))",0.1579349994659424,0.011701536178588868,0.5657318985735033,-787.0208218889078,-577.276013941076,-0.1122617391280519,0.0038028703562398318,-0.11508286403400532,0.58994756625811
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 0))",0.2524860858917236,0.012588167190551757,0.5658070813897245,-786.894659282412,-577.4180551748831,-0.11229477543816158,0.004152514373789547,-0.11511494422417574,0.5901192362771466
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 0))",0.159431791305542,0.011503314971923828,0.5658079629168005,-786.8937183791613,-577.383769906973,-0.11228870551413594,0.004156328522802473,-0.11510853636956715,0.590122483168518
