ANN,fit_time,score_time,test_R2,train_R2,test_RMSE,train_RMSE,test_MAE,train_MAE,test_MAPE,train_MAPE,test_Bias%,train_Bias%,test_WAPE%,train_WAPE%,test_Pearson-R,train_Pearson-R
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.1695082982381185,0.06227747599283854,-0.1973647090854854,-0.18588362954092216,-1196.8207225170163,-1194.4189730899725,-919.4773997100041,-913.8590331593545,-0.17510115402340065,-0.1739967564150321,0.10423737711430629,0.1046293579763488,-0.1894652611045452,-0.18853082645220667,0.47984289503450817,0.511541161907391
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.15132244427998862,0.04153029123942057,-0.1971974234184201,-0.18571902564636691,-1196.737239578789,-1194.3361310739763,-919.4517460559173,-913.8312002312115,-0.17510521620200367,-0.17400028534871192,0.10418535982770609,0.10457748002403018,-0.18946004589382906,-0.18852508206008603,0.47984720721330815,0.5115471625991305
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.08569002151489258,0.018846988677978516,-0.08946839685775736,-0.06668282665206766,-1138.9991168629383,-1132.8319961528841,-931.60345797211,-925.1836084970495,-0.20816892570305826,-0.20695542201008912,-0.05902129156613562,-0.05844692619734674,-0.1922241604635984,-0.19088220321832247,0.06707291398111336,0.049618193595148054
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'sgd'), ('regressor tol', 1e-05))",0.3579864501953125,0.05719629923502604,-0.08946417346386615,-0.06667883415994669,-1138.9969887909208,-1132.829876128213,-931.6017962614011,-925.1818979407932,-0.20816825871628056,-0.20695474590661653,-0.05901953716596756,-0.058445173098383374,-0.1922238138989709,-0.1908818503785589,0.06706951451307662,0.04961440736300682
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.12794923782348633,0.0417184034983317,-0.07349605430772743,-0.04004984570677972,-1133.1908441919757,-1118.4236119599943,-898.9986639613675,-878.0506770208059,-0.17560303535451074,-0.17086830357426588,0.07552032687635672,0.07595172235602593,-0.18532270064251252,-0.18116839167304524,0.11565485505122941,0.1681231495768072
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (50, 50)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.14368057250976562,0.0485386848449707,-0.07306628483649291,-0.03989255736905221,-1132.9720332730703,-1118.344833944652,-898.8546335642469,-878.0090074148721,-0.17550485842520894,-0.170805022496648,0.07581196994709292,0.07620914975285414,-0.18529485702737836,-0.1811591742173859,0.11230945574104423,0.16582318738894175
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.10637625058492024,0.012666781743367514,-0.04618044374085314,-0.026130290058987333,-1117.045326394371,-1111.0896920456255,-913.2166384435785,-908.9506312371797,-0.20031046170810762,-0.19951960111129363,-0.03714284209103667,-0.03658461924712605,-0.18838140042650928,-0.18753055783055927,0.2005126471055612,0.19334128485983113
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.01), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.447750727335612,0.04959948857625326,-0.04617604024069507,-0.02612635144705407,-1117.0430785505748,-1111.087558173859,-913.2150651308067,-908.9489664968261,-0.200309640455377,-0.19951875961454632,-0.037140200693484386,-0.03658198236143451,-0.18838107041635085,-0.1875302144779293,0.02208650794964907,0.06267298322037655
"(('regressor activation', 'logistic'), ('regressor alpha', 0.01), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.3741438388824463,0.05625104904174805,-0.02230451462319157,-0.008061177331908956,-1105.662579712651,-1101.263658874611,-896.7235854568062,-893.6357191384859,-0.18612516169718174,-0.1855816757891976,0.019803952692193556,0.02032014995845198,-0.1848846229023463,-0.18436401143711834,0.19604617350602724,0.18453302102192048
"(('regressor activation', 'logistic'), ('regressor alpha', 0.0001), ('regressor hidden_layer_sizes', (128, 64, 32, 16, 8)), ('regressor learning_rate_init', 0.1), ('regressor solver', 'adam'), ('regressor tol', 1e-05))",0.10153722763061523,0.019175052642822266,-0.022304195764947982,-0.008060819611892386,-1105.6624013894723,-1101.2634634871135,-896.7236182546088,-893.6357045793271,-0.18612525430912397,-0.18558175844936628,0.019803499902006732,0.020319697507226373,-0.18488463012757672,-0.1843640084356246,,
