GBM,fit_time,score_time,test_R2,test_RMSE,test_MAE,test_MAPE,test_Bias%,test_WAPE%,test_Pearson-R
"(('regressor num_leaves', 2), ('regressor reg_alpha', 10), ('regressor reg_lambda', 10))",0.6757717927296957,0.04859042167663574,0.6165244351475219,-671.5927735108562,-489.570301367339,-0.0980200851182606,0.010502006510146161,-0.10119543292960825,0.640267815781239
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 10))",0.6537246704101562,0.040708065032958984,0.6166864753343148,-671.4629376848471,-489.2449994612866,-0.09792762415532758,0.010552409025807596,-0.10112702069157627,0.6404332034345019
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 10))",0.6097112496693929,0.05385899543762207,0.6167529485357465,-671.4118181900831,-489.2241354504734,-0.09792341443879081,0.01055411956372835,-0.10112265531539322,0.6405064580326941
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 10))",0.6159454186757406,0.04403050740559896,0.6167616582633904,-671.40378349231,-489.21676053068336,-0.09792149820283665,0.010554412370463085,-0.10112113624768265,0.6405074220048591
"(('regressor num_leaves', 2), ('regressor reg_alpha', 2), ('regressor reg_lambda', 10))",0.6386741002400717,0.04651832580566406,0.6167703648591433,-671.3957514543043,-489.20938578087936,-0.09791958197216445,0.01055470537768337,-0.10111961721423834,0.6405083847531065
"(('regressor num_leaves', 2), ('regressor reg_alpha', 1), ('regressor reg_lambda', 10))",0.6139514446258545,0.044936180114746094,0.6167790698982215,-671.3877206458316,-489.20201066547025,-0.09791766568342397,0.010554998151843978,-0.10111809810572148,0.6405093474246644
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 10))",0.672028382619222,0.04037292798360189,0.6167864545111993,-671.3805871920017,-489.18966707405883,-0.09791564187646516,0.010551333146390838,-0.10111559416610583,0.6405060407130486
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 10))",0.5596203804016113,0.04821348190307617,0.616789934535695,-671.3773765400143,-489.18671746827954,-0.09791487548463533,0.010551450096544754,-0.10111498661284511,0.6405064236750128
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 10))",0.7456007798512777,0.04085294405619303,0.6167908048447296,-671.3765736688921,-489.1859800681529,-0.0979146838802652,0.010551479366930796,-0.10111483472383993,0.6405065199355509
"(('regressor num_leaves', 2), ('regressor reg_alpha', 5), ('regressor reg_lambda', 5))",0.8389702637990316,0.0451817512512207,0.6210097926194866,-667.8004281263925,-485.88265292596185,-0.09721242749740305,0.009389657157757773,-0.10042452595837292,0.6407034299484123
"(('regressor num_leaves', 2), ('regressor reg_alpha', 4), ('regressor reg_lambda', 5))",0.6582645575205485,0.04718224207560221,0.6210238090344894,-667.7875800536455,-485.83427904584545,-0.09719920155007446,0.009399914516917915,-0.10041452408716044,0.6407049689923718
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.5), ('regressor reg_lambda', 5))",0.866875966389974,0.043749332427978516,0.6210248928037839,-667.7931003102922,-485.90931010197073,-0.09721548452922148,0.009406818687011117,-0.10042955647522012,0.6407041198267137
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0.1), ('regressor reg_lambda', 5))",0.6141841411590576,0.04600063959757487,0.6210279303916147,-667.7903179035419,-485.9067711355195,-0.09721482568944238,0.009406904624869736,-0.1004290311925962,0.6407043030026072
"(('regressor num_leaves', 2), ('regressor reg_alpha', 0), ('regressor reg_lambda', 5))",0.6861679553985596,0.0446778933207194,0.6210286897527858,-667.7896223583971,-485.90613640969195,-0.09721466099145444,0.009406926055544334,-0.10042889987456749,0.6407043489646084
"(('regressor num_leaves', 2), ('regressor reg_alpha', 3), ('regressor reg_lambda', 5))",0.6508912245432535,0.04303328196207682,0.6210518976890679,-667.7628041901411,-485.827293692992,-0.09719734445239019,0.009396852406905992,-0.10041302684596844,0.6407198849189872
